"<p><br /></p>"
"開啟​輸入​欄位​","","","","","","","","Epic-MVP, Step 1b.1"
"開啟​輸入​欄位​","","","","","","","","Epic-MVP, Step 1b.3"
"開啟​輸入​欄位​","","","","","","","","Epic-MVP, Step 1b.4"
"顯示​當​前​日期​時間 (yyyy/mm/dd hh:mm)","","","","","","","","Epic-MVP, Step 1b.5"
"開啟草稿​進行手動編輯","","","","","","","","Epic-MVP, Step 2"
"檢視​已​輸入​內容​","","","","","","","","Epic-MVP, Step 3.1"
"點選確認​送​出","","","","","","","","Epic-MVP, Step 3.2"
"檢​視​名​稱","","","","","","","","Epic-MVP, Step 4.1"
"檢視​投資標​的​相關​文檔​(文檔​依照​投資標​的​進行​Grouping)​","","","","","","","","Epic-MVP, Step 4.2"
"檢視​投資標​的​Lo​go & 名稱 & Ticker","","","","","","","","Epic-MVP, Step 4.3"
"依​投資標​的​Grouping ​顯示​勝率​","","","","","","","","Epic-MVP, Step 4.4"
"檢視​主旨、​發文​時間、​KOL、​走勢​情緒​","","","","","","","","Epic-MVP, Step 5.1"
"檢視文檔​ (​主文、​圖片​)","","","","","","","","Epic-MVP, Step 5.2"
"檢視K線圖(含交易量​)","","","","","","","","Epic-MVP, Step 5.3"
"檢​視​名​稱、Ticker","","","","","","","","Epic-MVP, Step 6.1"
"檢視​所有​相關​文檔​ (​依發​文時間​先​後排列​)","","","","","","","","Epic-MVP, Step 6.2"
"檢視​當​天5日前​漲跌幅​% (​左右滑動​依序​顯示​其他​期​間​30、​90、​36​5)","","","","","","","","Epic-MVP, Step 6.4"
"手動編輯​文字​","","","","","","","","Epic-MVP, Step 0.0"
"手動編輯​文字​","","","","","","","","Epic-MVP, Step 1b.1"
"手動編輯​文字​","","","","","","","","Epic-MVP, Step 1b.3"
"手動編輯​文字​","","","","","","","","Epic-MVP, Step 1b.4"
"刪除​草稿","","","","","","","","Epic-MVP, Step 2"
"確認​根據​主文，​自動​識別​的​走勢​情緒​ (​看多、​中立、​看空​)","","","","","","","","Epic-MVP, Step 3.1"
"點選​以​切換​頁籤","","","","","","","","Epic-MVP, Step 4.1"
"檢視​相關​文檔​一​覽​","","","","","","","","Epic-MVP, Step 4.3"
"檢視​所有​發文勝率​ ​(5、​30、​90、​365日​漲​跌 符合文​檔情緒​走勢)","","","","","","","","Epic-MVP, Step 4.4"
"檢視文檔​發文後5日​漲​跌幅​% (​左右滑動​依序​顯示​其他​期​間​30、​90、​36​5)","","","","","","","","Epic-MVP, Step 5.1"
"加入​書籤​","","","","","","","","Epic-MVP, Step 5.2"
"縮放K線圖​ (日線、​週線、​月線、​季線​)","","","","","","","","Epic-MVP, Step 5.3"
"點選​以​切換​頁籤","","","","","","","","Epic-MVP, Step 6.1"
"手動​輸入​相對​時間 (X​小時​前​; ​X​天​前​)","","","","","","","","Epic-MVP, Step 1b.5"
"檢視​該Grouping的投資標​的​Lo​go & 名稱 & Ticker","","","","","","","","Epic-MVP, Step 4.2"
"檢視​文檔​的​KOL、​發文​時間、​市場​情緒​","","","","","","","","Epic-MVP, Step 6.2"
"檢視K線圖(含交易量​)","","","","","","","","Epic-MVP, Step 6.4"
"貼​上​剪​貼​簿​中​的​文字​","","","","","","","","Epic-MVP, Step 1b.1"
"貼​上​剪​貼​簿​中​的​文字​","","","","","","","","Epic-MVP, Step 1b.4"
"點選文檔​檢視單篇","","","","","","","","Epic-MVP, Step 4.3"
"左右平移K​線圖","","","","","","","","Epic-MVP, Step 5.3"
"手動​輸入​絕對​時間​ (yyyy/mm/dd HH:MM)","","","","","","","","Epic-MVP, Step 1b.5"
"點擊​特定​段落，​進行​手動​修改","","","","","","","","Epic-MVP, Step 3.1"
"點選​以​切換​頁籤","","","","","","","","Epic-MVP, Step 5.1"
"檢視​當​天5日前​漲跌幅​% (​左右滑動​依序​顯示​其他​期​間​30、​90、​36​5)","","","","","","","","Epic-MVP, Step 6.2"
"縮放K線圖​ (日線、​週線、​月線、​季線​)","","","","","","","","Epic-MVP, Step 6.4"
"上​下滑​動​檢視​不同​的​Group (列出​最​新​3筆​)","","","","","","","","Epic-MVP, Step 4.2"
"檢視文檔​發文後5日​漲​跌幅​% (​左右滑動​依序​顯示​其他​期​間​30、​90、​36​5)","","","","","","","","Epic-MVP, Step 4.3"
"檢視該篇​文檔​的​在​K線​圖​上​的​標記​ (​走​勢情緒​@時間)","","","","","","","","Epic-MVP, Step 5.3"
"左右平移K​線圖","","","","","","","","Epic-MVP, Step 6.4"
"檢視文檔​發文後5日​漲​跌幅​% (​左右滑動​依序​顯示​其他​期​間​30、​90、​36​5)","","","","","","","","Epic-MVP, Step 4.2"
"檢視​所有​文檔​在​K線​圖​上​的​標記​ (​走​勢情緒​@時間)","","","","","","","","Epic-MVP, Step 6.4"
"點選Logo檢視Group內​所有​文檔​","","","","","","","","Epic-MVP, Step 4.2"
"作為​一​個​ [​快速紀錄者​]，​ ​我​想​要​ [​能​打開​APP​直接​輸入​內容]，​ 以​便 [置入​在​SNS​的​使用​心流]。​","","","","","","","","User Story-MVP, Step 0.0"
"作為​一​個​ [​整理者​]，​我​想​要​ [​編輯​文本]，​以​便​ [​提高​建檔​的​準確性]。​","","","","","","","","User Story-MVP, Step 1b.1"
"作為​一​個​ [​整理者​]，​我​想​要​ [​編輯​文本]，​以​便​ [​提高​建檔​的​準確性]。​","","","","","","","","User Story-MVP, Step 1b.3"
"作為​一​個​ [​整理者​]，​我​想​要​ [​編輯​文本]，​以​便​ [​提高​建檔​的​準確性]。​","","","","","","","","User Story-MVP, Step 1b.4"
"作為​一​個​ [​快速紀錄者​]，​我​想​要​ [​能​直接​輸入​相對​時間​(​大部分​SNS​都​是​顯示​X​天前、​X小​時​前​)]，​以​便​ [讓​我​不​須​手動​換算]。​","","","","","","","","User Story-MVP, Step 1b.5"
"作為​一​個​ [​整理者​]，​我​想​要​ [​看到​所有​草稿​在​清單​中]，​以​便​ [​提高​管理​效率]。​","","","","","","","","User Story-MVP, Step 2"
"作為​一​個​ [​個股​研究者​]，​我​想​要​ [​複​核AI​自動辨​識出​文本​中，​針對​特定​投資​項目​的​市場​情​緒]，​以​便​ [​提供​不同​的​觀察​維度​]。​","","","","","","","","User Story-MVP, Step 3.1"
"作為​一​個​ [​整理者​]，​我​想​要​ [​建檔​前​有​多​一​個​確認彈​窗]，​以​便​ [降低​誤觸率]。​","","","","","","","","User Story-MVP, Step 3.2"
"作為​一​個​ [​整理者​]，​我​想​要​ [​有​凍結​的​Header​顯示​基本​資料​]，​以​便​ [​在​查看​細​節時，​不​用​一直​翻到​最​前面​看作者​是​哪個​KO​L]。​","","","","","","","","User Story-MVP, Step 4.1"
"作為​一​個​ [​整理者​]，​我​想​要​ [​把​文檔​依照​投資標​的​進行​Groupin​g]，​以​便​ ​[查​找​某​個單篇文​檔]。​","","","","","","","","User Story-MVP, Step 4.2"
"作為​一​個​ [​整理者​]，​我​想​要​ [​看到​所有​相關​文檔​在​清單​中]，​以​便​ [​提高​管理​效率]。​","","","","","","","","User Story-MVP, Step 4.3"
"作為​一​個​ [​個股​研究者​]，​我​想​要​ [​依照​投資標​的​對文​檔​進行Groupin​g]，​以​便​ [評估​個股​的​勝率​]。​","","","","","","","","User Story-MVP, Step 4.4"
"作為​一​個​ [​整理者​]，​我​想​要​ [​有​凍結​的​Header​顯示​基本​資料​]，​以​便​ [​在​查看​細​節時，​不​用​一直​翻到​最​前面​看作者​是​哪個​KO​L]。​","","","","","","","","User Story-MVP, Step 5.1"
"作為​一​個​ [​個股​研究者​]，​我​想​要​ [查​看文檔​全​文]，​以​便​ [​當​作​跨​平台​的​筆記​/​資料​庫]。​","","","","","","","","User Story-MVP, Step 5.2"
"作為​一​個​ [​個股​研究者​]，​我​想​要​ [​縮放線​圖]，​以​便​ [​更​好​的​理解​走​勢]。​","","","","","","","","User Story-MVP, Step 5.3"
"作為​一​個​ [​整理者​]，​我​想​要​ [​有​凍結​的​Header​顯示​基本​資料​]，​以​便​ [​在​查看​細​節時，​不​用​一直​翻到​最​前​面查​看標​的​公司​的​基本​資料]。​","","","","","","","","User Story-MVP, Step 6.1"
"作為​一​個​ [​整理者​]，​我​想​要​ [​看到​所有​相關​文檔​在​清單​中]，​以​便​ [​提高​管理​效率]。​","","","","","","","","User Story-MVP, Step 6.2"
"作為​一​個​ [​個股​研究者​]，​我​想​要​ [​縮放線​圖]，​以​便​ [​更​好​的​理解​走​勢]。​","","","","","","","","User Story-MVP, Step 6.4"
"作為​一​個​ [​整理者​]，​我​想​要​ [​點選草稿​進入​手動​編輯​畫面]，​以​便​ [​完成​建檔]。​","","","","","","","","User Story-MVP, Step 2"
"作為​一​個​ [​個股​研究者​]，​我​想​要​ [​左右平移線​圖]，​以​便​ ​[查​看​先​前​/​後續​的​走勢]。​","","","","","","","","User Story-MVP, Step 5.3"
"作為​一​個​ [​個股​研究者​]，​我​想​要​ [​左右平移線​圖]，​以​便​ ​[查​看​先​前​/​後續​的​走勢]。​","","","","","","","","User Story-MVP, Step 6.4"
"作為​一​個​ [​快速紀錄者​]，​ ​我​想​要​ [​能​貼​上​剪​貼​簿​中​的​文本​]，​ 以​便 [​提升​效率]。​","","","","","","","","User Story-MVP, Step 0.0"
"作為​一​個​ [​整理者​]，​我​想​要​ [​把​Grouping​依照​最近​更新​進行​排序]，​以​便​ [​快速瀏​覽該KO​L​關注​的​領域​]。​","","","","","","","","User Story-MVP, Step 4.2"
"作為​一​個​ [​個股​研究者​]，​我​想​要​ [​在​每​個​文檔​標題​旁​註明發​表時​間]，​以​便​ [評估​時效性]。​","","","","","","","","User Story-MVP, Step 4.3"
"作為​一​個​ [​個股​研究者​]，​我​想​要​ [​在​每個​項目旁邊​註明情​緒​觀點​與5、​30、​90、​36​5日​的​漲跌​幅]，​以​便​ [評​估勝率]。​","","","","","","","","User Story-MVP, Step 4.4"
"作為​一​個​ [​個股​研究者​]，​我​想​要​ [​將文章​加為書​籤]，​以​便​ [​再次​閱讀​內容]。​","","","","","","","","User Story-MVP, Step 5.2"
"作為​一​個​ [​個股​研究者​]，​我​想​要​ [​在​每​個​文檔​標題​旁​註明發​表時​間]，​以​便​ [評估​時效性]。​","","","","","","","","User Story-MVP, Step 6.2"
"作為​一​個​ [​整理者​]，​我​想​要​ [​能​手動​輸入​絕對​日期​與時​間]，​以​便​ [​提高​建檔​的​準確性]。​","","","","","","","","User Story-MVP, Step 1b.5"
"作為​一​個​ [​整理者​]，​我​想​要​ [​編輯AI辨​識出​的​結果]，​以​便​ [​提高​建檔​的​準確性]。​","","","","","","","","User Story-MVP, Step 3.1"
"作為​一​個​ [​個股​研究者​]，​我​想​要​ [​左右滑動​畫面​中​段​查​看​不同​細​節]，​以​便​ ​[從​更​多​面向​去理​解這​公司​]。​","","","","","","","","User Story-MVP, Step 4.1"
"作為​一​個​ [​個股​研究者​]，​我​想​要​ [​在​Heade​r查​看​回測​結果]，​以​便​ [對照主文​來​評估可​信度​]。​","","","","","","","","User Story-MVP, Step 5.1"
"作為​一​個​ [​個股​研究者​]，​我​想​要​ [​左右滑動​畫面​中​段​查​看​不同​細​節]，​以​便​ ​[從​更​多​面向​去理​解這​公司​]。​","","","","","","","","User Story-MVP, Step 6.1"
"作為​一​個​ [​整理者​]，​我​想​要​ [​能​在​清單​中(​不​開啟編輯​畫面​)​左右滑動刪​除]，​以​便​ [​提高​清理​的​效率​]。​","","","","","","","","User Story-MVP, Step 2"
"作為​一​個​ [​個股​研究者​]，​我​想​要​ [​在​線圖​上​檢視該文檔​傳達​的​走勢​情​緒]，​以​便​ [對時機點​進行​更​準確​的​對照]。​","","","","","","","","User Story-MVP, Step 5.3"
"作為​一​個​ [​個股​研究者​]，​我​想​要​ [​在​線圖​上​檢視​所有​文檔​傳達​的​走勢​情​緒]，​以​便​ [對時機點​進行​更​準確​的​對照]。​","","","","","","","","User Story-MVP, Step 6.4"
"作為​一​個​ [​快速紀錄者​]，​ ​我​想​要​ [​看到​AI​自動​辨識​輸入​的​內容​類型​ (網址 or 文​章)，​並轉​到​正確​的​相應​的​頁面]，​ 以​便 [​減少​我​手動​設定​的​次​數]。​","","","","","","","","User Story-MVP, Step 0.0"
"作為​一​個​ [​個股​研究者​]，​我​想​要​ [​在​每​個​Group​中列出​最​新​3筆​文​檔]，​以​便​ [​檢視​最​新​的​觀點]。​","","","","","","","","User Story-MVP, Step 4.2"
"作為​一​個​ [​個股​研究者​]，​我​想​要​ [​在​每​個​文檔​旁邊​註明情​緒​觀點與漲​跌​幅]，​以​便​ [評​估勝率]。​","","","","","","","","User Story-MVP, Step 4.3"
"作為​一​個​ [​個股​研究者​]，​我​想​要​ [​在​每​個​文檔​旁邊​註明情​緒​觀點與漲​跌​幅]，​以​便​ [評​估勝率]。​","","","","","","","","User Story-MVP, Step 6.2"
"作為​一​個​ [​個股​研究者​]，​我​想​要​ [​彙總​每​個​Grouping​在​5、​30、​90、​36​5日​的​勝率​(情緒​觀點符合漲​跌​方向​)]，​以​便​ [評估KOL對​特定標​的​意見​的​準度​]。​","","","","","","","","User Story-MVP, Step 4.4"
"作為​一​個​ [​個股​研究者​]，​我​想​要​ [​左右滑動​畫面​中​段​查​看​不同​細​節]，​以​便​ ​[從​更​多​面向​去理​解這​公司​]。​","","","","","","","","User Story-MVP, Step 5.1"
"作為​一​個​ [​整理者​]，​我​想​要​ [​能​在​清單​中(​不​開啟編輯​畫面​)長​按​進行多​選並​一​併​刪​除]，​以​便​ [​提高​清理​的​效率​]。​","","","","","","","","User Story-MVP, Step 2"
"作為​一​個​ [​整理者​]，​我​想​要​ [​點擊​線圖​上​的​標記​以​移轉​到​單篇文​檔]，​以​便​ ​[查​看​特定​文檔]。​","","","","","","","","User Story-MVP, Step 6.4"
"作為​一​個​ [​個股​研究者​]，​我​想​要​ [​在​每​個​文檔​標題​旁​註明發​表時​間]，​以​便​ [評估​時效性]。​","","","","","","","","User Story-MVP, Step 4.2"
"作為​一​個​ [​個股​研究者​]，​我​想​要​ [​左右滑動​顯示​其他​區間​30、​90、​365​的​漲跌​幅]，​以​便​ [評估​不同​維度​的​勝率​]。​","","","","","","","","User Story-MVP, Step 4.3"
"作為​一​個​ [​整理者​]，​我​想​要​ [​點擊​以​移轉​到​單篇文​檔]，​以​便​ ​[查​看​特定​文檔]。​","","","","","","","","User Story-MVP, Step 6.2"
"作為​一​個​ [​快速紀錄者​]，​ ​我​想​要​ [​系統​自動​暫存​輸入​的​內容​為草稿]，​ 以​便 [​在​我​分心​切換​的​時候​能​留​檔]。​","","","","","","","","User Story-MVP, Step 0.0"
"作為​一​個​ [​個股​研究者​]，​我​想​要​ [​彙總KOL​所有​文檔​在​5、​30、​90、​36​5日​的​勝率​(情緒​觀點符合漲​跌​方向​)]，​以​便​ [評估KOL​整體​的​可​信​度​]。​","","","","","","","","User Story-MVP, Step 4.4"
"作為​一​個​ [​個股​研究者​]，​我​想​要​ [​在​每​個​文檔​旁邊​註明情​緒​觀點與漲​跌​幅]，​以​便​ [評​估勝率]。​","","","","","","","","User Story-MVP, Step 4.2"
"作為​一​個​ [​整理者​]，​我​想​要​ [​點擊​以​移轉​到​單篇文​檔]，​以​便​ ​[查​看​特定​文檔]。​","","","","","","","","User Story-MVP, Step 4.3"
"作為​一​個​ [​整理者​]，​我​想​要​ [​點擊​以​移轉​到​單篇文​檔]，​以​便​ ​[查​看​特定​文檔]。​","","","","","","","","User Story-MVP, Step 4.4"
"作為​一​個​ [​個股​研究者​]，​我​想​要​ [​左右滑動​顯示​其他​區間​30、​90、​365​的​漲跌​幅]，​以​便​ [評估​不同​維度​的​勝率​]。​","","","","","","","","User Story-MVP, Step 4.2"
"作為​一​個​ [​整理者​]，​我​想​要​ [​點擊Logo查​看​特定​標​的​的​文檔​清單]，​以​便​ [access​過往​其他​文檔]。​","","","","","","","","User Story-MVP, Step 4.2"
"貼​上​FB貼文網​址","","","","","","","","Epic-Release 01, Step 1a"
"開啟​輸入​欄位​","","","","","","","","Epic-Release 01, Step 1b.2"
"模糊​比對​已​建檔​的​投資標​的​名稱","","","","","","","","Epic-Release 01, Step 1b.3"
"模糊​比對​已​建檔​的​KO​L​名​稱","","","","","","","","Epic-Release 01, Step 1b.4"
"重複​輸入​比對+​警示​","","","","","","","","Epic-Release 01, Step 3.1"
"進階​排序 (​TBD)","","","","","","","","Epic-Release 01, Step 4.2"
"進階篩選 (TBD)","","","","","","","","Epic-Release 01, Step 4.4"
"檢視簡介","","","","","","","","Epic-Release 01, Step 4.5"
"瀏覽​相關​新​聞摘​要​","","","","","","","","Epic-Release 01, Step 5.2"
"由​AI​彙​整文檔，​並將​關鍵​論述摘​要​為Bulletpoint","","","","","","","","Epic-Release 01, Step 6.3"
"開啟​有​標註​書籤​的​文檔​","","","","","","","","Epic-Release 01, Step 7.1"
"移除​書籤","","","","","","","","Epic-Release 01, Step 7.2"
"貼​上​Twitter串文​網址","","","","","","","","Epic-Release 01, Step 1a"
"貼​上​剪​貼​簿​中​的​圖片​","","","","","","","","Epic-Release 01, Step 1b.2"
"模糊​比對​已​建檔​的​主題​名​稱","","","","","","","","Epic-Release 01, Step 1b.3"
"從下拉式​選單​中​選取","","","","","","","","Epic-Release 01, Step 1b.4"
"進階篩選 (TBD)","","","","","","","","Epic-Release 01, Step 4.2"
"點選SNS連結","","","","","","","","Epic-Release 01, Step 4.5"
"瀏覽該KOL、​該​投​資標​的​的​其他​文章​","","","","","","","","Epic-Release 01, Step 5.2"
"管理子​分類​","","","","","","","","Epic-Release 01, Step 7.1"
"管理子​分類​","","","","","","","","Epic-Release 01, Step 7.2"
"對論點Bulletpoint進行​分類，​分為​看多、​看空、​中性​","","","","","","","","Epic-Release 01, Step 6.3"
"上​傳本​地​圖​片​檔","","","","","","","","Epic-Release 01, Step 1b.2"
"從下拉式​選單​中​選取","","","","","","","","Epic-Release 01, Step 1b.3"
"瀏覽AI​摘要​的​核心​論點","","","","","","","","Epic-Release 01, Step 5.2"
"將書籤​加入子​分類​","","","","","","","","Epic-Release 01, Step 7.1"
"將書籤​加入子​分類​","","","","","","","","Epic-Release 01, Step 7.2"
"點擊論點Bulletpoint，​展開​關聯​的​文檔​清單​","","","","","","","","Epic-Release 01, Step 6.3"
"手動編輯​內容","","","","","","","","Epic-Release 01, Step 5.2"
"將書籤​移出子分類​","","","","","","","","Epic-Release 01, Step 7.1"
"將書籤​移出子分類​","","","","","","","","Epic-Release 01, Step 7.2"
"點擊文檔​清單，​檢視​單篇文檔​詳細","","","","","","","","Epic-Release 01, Step 6.3"
"作為​一​個​ [​快速紀錄者​]，​我​想​要​ [貼​上​網址​直接​抓取資​訊]，​以​便​ [​減少​我​手動​設定​的​次​數]。​","","","","","","","","User Story-Release 01, Step 1a"
"作為​一​個​ [​整理者​]，​我​想​要​ [​編輯AI辨​識出​的​結果]，​以​便​ [​提高​建檔​的​準確性]。​","","","","","","","","User Story-Release 01, Step 1b.3"
"作為​一​個​ [​快速紀錄者​]，​我​想​要​ [​能​從下​拉式​選單​中，​選擇到​最近​五​個​新​增文檔​的​KO​L]，​以​便​ [​減少​我​手動​輸入​的​次​數]。​","","","","","","","","User Story-Release 01, Step 1b.4"
"作為​一​個​ [​整理者​]，​我​想​要​ [​有​AI​比對準備​建立​的​文檔​跟​既​有​資料庫​的​內容]，​以​便​ [​避免​重複​輸入​建檔]。​","","","","","","","","User Story-Release 01, Step 3.1"
"作為​一​個​ [​快速紀錄者​]，​我​想​要​ [​顯示​該K​OL​的​簡介、​SNS連結]，​以​便​ ​[​到​外部​網站​去持​續​追蹤該K​OL​的​動態]。​","","","","","","","","User Story-Release 01, Step 4.5"
"作為​一​個​ [​整理者​]，​我​想​要​ [​能​預覽​結果]，​以​便​ [​提高​建檔​的​準確性]。​","","","","","","","","User Story-Release 01, Step 1a"
"作為​一​個​ [​快速紀錄者​]，​我​想​要​ [​在下拉式​多​選​清單​中，​挑選​AI​自動辨​識出​在​文本​中​主要​討論​的​投資標​的​]，​以​便​ [​減少​我​手動​輸入​的​次​數]。​","","","","","","","","User Story-Release 01, Step 1b.3"
"作為​一​個​ [​整理者​]，​我​想​要​ [​能​長​按​編輯​簡介、​SNS連結]，​以​便​ [隨時​進行調​整]。​","","","","","","","","User Story-Release 01, Step 4.5"
"作為​一​個​ [​整理者​]，​我​想​要​ [​能​在​自動​爬取​的​文本​之​上​進行​編​輯]，​以​便​ [​提高​建檔​的​準確性]。​","","","","","","","","User Story-Release 01, Step 1a"
"作為​一​個​ [市場觀察者​]，​我​想​要​ [​在下拉式​多​選​清單​中，​挑選​AI​自動辨​識出​文本​中​主要​討論​的​資產​分類]，​以​便​ [​提供​不同​的​觀察​維度​]。​","","","","","","","","User Story-Release 01, Step 1b.3"
"作為​一​個​ [​快速紀錄者​]，​我​想​要​ [​在​貼上​不​支援​的​網址時，​跳出​錯誤​提示​]，​以​便​ [​我​注意​到​問題]。​","","","","","","","","User Story-Release 01, Step 1a"
"作為​一​個​ [​整理者​]，​我​想​要​ [​在下拉式​多​選​清單​中，​挑選​AI​自動辨​識出​文本​中​主要​討論​的​資產​分類]，​以​便​ ​[為模糊​主題​的​文檔​分類]。​","","","","","","","","User Story-Release 01, Step 1b.3"
"作為​一​個​ [​快速紀錄者​]，​我​想​要​ [​在​錯誤​提示​之內​有​取消​&​手動​輸入​的​按鈕]，​以​便​ [​我​跳轉​到​正確​的​頁面]。​","","","","","","","","User Story-Release 01, Step 1a"
